Valid integers count: 200

Conversions:
Decimal: -39 | Binary: b100111 | Hexadecimal: X27
Decimal: 14 | Binary: 1110 | Hexadecimal: E
Decimal: 37 | Binary: 100101 | Hexadecimal: 25
Decimal: -8 | Binary: b1000 | Hexadecimal: X8
Decimal: -41 | Binary: b101001 | Hexadecimal: X29
Decimal: -50 | Binary: b110010 | Hexadecimal: X32
Decimal: -9 | Binary: b1001 | Hexadecimal: X9
Decimal: 2 | Binary: 10 | Hexadecimal: 2
Decimal: 12 | Binary: 1100 | Hexadecimal: C
Decimal: -39 | Binary: b100111 | Hexadecimal: X27
Decimal: -17 | Binary: b10001 | Hexadecimal: X11
Decimal: 0 | Binary: 0 | Hexadecimal: 0
Decimal: 27 | Binary: 11011 | Hexadecimal: 1B
Decimal: 28 | Binary: 11100 | Hexadecimal: 1C
Decimal: 45 | Binary: 101101 | Hexadecimal: 2D
Decimal: -44 | Binary: b101100 | Hexadecimal: X2C
Decimal: 28 | Binary: 11100 | Hexadecimal: 1C
Decimal: 35 | Binary: 100011 | Hexadecimal: 23
Decimal: -33 | Binary: b100001 | Hexadecimal: X21
Decimal: 43 | Binary: 101011 | Hexadecimal: 2B
Decimal: -4 | Binary: b100 | Hexadecimal: X4
Decimal: 23 | Binary: 10111 | Hexadecimal: 17
Decimal: -49 | Binary: b110001 | Hexadecimal: X31
Decimal: 49 | Binary: 110001 | Hexadecimal: 31
Decimal: -7 | Binary: b111 | Hexadecimal: X7
Decimal: -38 | Binary: b100110 | Hexadecimal: X26
Decimal: -45 | Binary: b101101 | Hexadecimal: X2D
Decimal: 5 | Binary: 101 | Hexadecimal: 5
Decimal: -21 | Binary: b10101 | Hexadecimal: X15
Decimal: 26 | Binary: 11010 | Hexadecimal: 1A
Decimal: -2 | Binary: b10 | Hexadecimal: X2
Decimal: -24 | Binary: b11000 | Hexadecimal: X18
Decimal: 6 | Binary: 110 | Hexadecimal: 6
Decimal: -45 | Binary: b101101 | Hexadecimal: X2D
Decimal: -4 | Binary: b100 | Hexadecimal: X4
Decimal: 15 | Binary: 1111 | Hexadecimal: F
Decimal: 0 | Binary: 0 | Hexadecimal: 0
Decimal: -17 | Binary: b10001 | Hexadecimal: X11
Decimal: -35 | Binary: b100011 | Hexadecimal: X23
Decimal: 43 | Binary: 101011 | Hexadecimal: 2B
Decimal: 45 | Binary: 101101 | Hexadecimal: 2D
Decimal: -35 | Binary: b100011 | Hexadecimal: X23
Decimal: -8 | Binary: b1000 | Hexadecimal: X8
Decimal: 28 | Binary: 11100 | Hexadecimal: 1C
Decimal: 47 | Binary: 101111 | Hexadecimal: 2F
Decimal: 34 | Binary: 100010 | Hexadecimal: 22
Decimal: -24 | Binary: b11000 | Hexadecimal: X18
Decimal: -42 | Binary: b101010 | Hexadecimal: X2A
Decimal: -13 | Binary: b1101 | Hexadecimal: XD
Decimal: 14 | Binary: 1110 | Hexadecimal: E
Decimal: -45 | Binary: b101101 | Hexadecimal: X2D
Decimal: -35 | Binary: b100011 | Hexadecimal: X23
Decimal: 27 | Binary: 11011 | Hexadecimal: 1B
Decimal: -12 | Binary: b1100 | Hexadecimal: XC
Decimal: -19 | Binary: b10011 | Hexadecimal: X13
Decimal: -20 | Binary: b10100 | Hexadecimal: X14
Decimal: -14 | Binary: b1110 | Hexadecimal: XE
Decimal: 20 | Binary: 10100 | Hexadecimal: 14
Decimal: 30 | Binary: 11110 | Hexadecimal: 1E
Decimal: 12 | Binary: 1100 | Hexadecimal: C
Decimal: -36 | Binary: b100100 | Hexadecimal: X24
Decimal: -47 | Binary: b101111 | Hexadecimal: X2F
Decimal: -27 | Binary: b11011 | Hexadecimal: X1B
Decimal: -3 | Binary: b11 | Hexadecimal: X3
Decimal: 6 | Binary: 110 | Hexadecimal: 6
Decimal: 36 | Binary: 100100 | Hexadecimal: 24
Decimal: 9 | Binary: 1001 | Hexadecimal: 9
Decimal: -16 | Binary: b10000 | Hexadecimal: X10
Decimal: 36 | Binary: 100100 | Hexadecimal: 24
Decimal: -27 | Binary: b11011 | Hexadecimal: X1B
Decimal: 7 | Binary: 111 | Hexadecimal: 7
Decimal: -6 | Binary: b110 | Hexadecimal: X6
Decimal: -5 | Binary: b101 | Hexadecimal: X5
Decimal: 5 | Binary: 101 | Hexadecimal: 5
Decimal: 47 | Binary: 101111 | Hexadecimal: 2F
Decimal: 23 | Binary: 10111 | Hexadecimal: 17
Decimal: -48 | Binary: b110000 | Hexadecimal: X30
Decimal: -24 | Binary: b11000 | Hexadecimal: X18
Decimal: 40 | Binary: 101000 | Hexadecimal: 28
Decimal: -4 | Binary: b100 | Hexadecimal: X4
Decimal: -18 | Binary: b10010 | Hexadecimal: X12
Decimal: -19 | Binary: b10011 | Hexadecimal: X13
Decimal: 14 | Binary: 1110 | Hexadecimal: E
Decimal: 15 | Binary: 1111 | Hexadecimal: F
Decimal: 1 | Binary: 1 | Hexadecimal: 1
Decimal: 24 | Binary: 11000 | Hexadecimal: 18
Decimal: -9 | Binary: b1001 | Hexadecimal: X9
Decimal: -50 | Binary: b110010 | Hexadecimal: X32
Decimal: 18 | Binary: 10010 | Hexadecimal: 12
Decimal: 15 | Binary: 1111 | Hexadecimal: F
Decimal: 30 | Binary: 11110 | Hexadecimal: 1E
Decimal: 44 | Binary: 101100 | Hexadecimal: 2C
Decimal: 9 | Binary: 1001 | Hexadecimal: 9
Decimal: 19 | Binary: 10011 | Hexadecimal: 13
Decimal: 33 | Binary: 100001 | Hexadecimal: 21
Decimal: 41 | Binary: 101001 | Hexadecimal: 29
Decimal: -24 | Binary: b11000 | Hexadecimal: X18
Decimal: 43 | Binary: 101011 | Hexadecimal: 2B
Decimal: 48 | Binary: 110000 | Hexadecimal: 30
Decimal: -23 | Binary: b10111 | Hexadecimal: X17
Decimal: 7 | Binary: 111 | Hexadecimal: 7
Decimal: 28 | Binary: 11100 | Hexadecimal: 1C
Decimal: 8 | Binary: 1000 | Hexadecimal: 8
Decimal: -2 | Binary: b10 | Hexadecimal: X2
Decimal: 37 | Binary: 100101 | Hexadecimal: 25
Decimal: 42 | Binary: 101010 | Hexadecimal: 2A
Decimal: -17 | Binary: b10001 | Hexadecimal: X11
Decimal: -6 | Binary: b110 | Hexadecimal: X6
Decimal: 36 | Binary: 100100 | Hexadecimal: 24
Decimal: 22 | Binary: 10110 | Hexadecimal: 16
Decimal: 27 | Binary: 11011 | Hexadecimal: 1B
Decimal: 31 | Binary: 11111 | Hexadecimal: 1F
Decimal: -47 | Binary: b101111 | Hexadecimal: X2F
Decimal: -43 | Binary: b101011 | Hexadecimal: X2B
Decimal: 0 | Binary: 0 | Hexadecimal: 0
Decimal: 27 | Binary: 11011 | Hexadecimal: 1B
Decimal: 30 | Binary: 11110 | Hexadecimal: 1E
Decimal: 12 | Binary: 1100 | Hexadecimal: C
Decimal: -15 | Binary: b1111 | Hexadecimal: XF
Decimal: -19 | Binary: b10011 | Hexadecimal: X13
Decimal: -42 | Binary: b101010 | Hexadecimal: X2A
Decimal: -37 | Binary: b100101 | Hexadecimal: X25
Decimal: 31 | Binary: 11111 | Hexadecimal: 1F
Decimal: -10 | Binary: b1010 | Hexadecimal: XA
Decimal: 18 | Binary: 10010 | Hexadecimal: 12
Decimal: 33 | Binary: 100001 | Hexadecimal: 21
Decimal: -15 | Binary: b1111 | Hexadecimal: XF
Decimal: 17 | Binary: 10001 | Hexadecimal: 11
Decimal: 25 | Binary: 11001 | Hexadecimal: 19
Decimal: -25 | Binary: b11001 | Hexadecimal: X19
Decimal: -5 | Binary: b101 | Hexadecimal: X5
Decimal: 33 | Binary: 100001 | Hexadecimal: 21
Decimal: -13 | Binary: b1101 | Hexadecimal: XD
Decimal: 33 | Binary: 100001 | Hexadecimal: 21
Decimal: -10 | Binary: b1010 | Hexadecimal: XA
Decimal: 47 | Binary: 101111 | Hexadecimal: 2F
Decimal: 47 | Binary: 101111 | Hexadecimal: 2F
Decimal: -13 | Binary: b1101 | Hexadecimal: XD
Decimal: -32 | Binary: b100000 | Hexadecimal: X20
Decimal: 1 | Binary: 1 | Hexadecimal: 1
Decimal: 1 | Binary: 1 | Hexadecimal: 1
Decimal: -25 | Binary: b11001 | Hexadecimal: X19
Decimal: -33 | Binary: b100001 | Hexadecimal: X21
Decimal: 16 | Binary: 10000 | Hexadecimal: 10
Decimal: 17 | Binary: 10001 | Hexadecimal: 11
Decimal: 4 | Binary: 100 | Hexadecimal: 4

Time Elapsed: 0.0014810562133789062 seconds
